id,code,description
10699,I70.539,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of unspecified site
10700,I70.54,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration
10701,I70.541,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of thigh
10702,I70.542,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of calf
10703,I70.543,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of ankle
10704,I70.544,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of heel and midfoot
10705,I70.545,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of other part of foot
10706,I70.548,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of other part of lower leg
10707,I70.549,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of unspecified site
10708,I70.55,Atherosclerosis of nonautologous biological bypass graft(s) of other extremity with ulceration
10709,I70.56,Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene
10710,I70.561,Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene and right leg
10711,I70.562,Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene and left leg
10712,I70.563,Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene and bilateral legs
10713,I70.568,Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene and other extremity
10714,I70.569,Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene and unspecified extremity
10715,I70.59,Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities
10716,I70.591,Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities and right leg
10717,I70.592,Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities and left leg
10718,I70.593,Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities and bilateral legs
10719,I70.598,Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities and other extremity
10720,I70.599,Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities and unspecified extremity
10721,I70.6,Atherosclerosis of nonbiological bypass graft(s) of the extremities
10722,I70.60,Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities
10723,I70.601,Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities and right leg
10724,I70.602,Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities and left leg
10725,I70.603,Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities and bilateral legs
10726,I70.608,Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities and other extremity
10727,I70.609,Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities and unspecified extremity
10728,I70.61,Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication
10729,I70.611,Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication and right leg
10730,I70.612,Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication and left leg
10731,I70.613,Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication and bilateral legs
10732,I70.618,Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication and other extremity
10733,I70.619,Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication and unspecified extremity
10734,I70.62,Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain
10735,I70.621,Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain and right leg
10736,I70.622,Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain and left leg
10737,I70.623,Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain and bilateral legs
10738,I70.628,Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain and other extremity
10739,I70.629,Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain and unspecified extremity
10740,I70.63,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration
10741,I70.631,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of thigh
10742,I70.632,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of calf
10743,I70.633,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of ankle
10744,I70.634,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of heel and midfoot
10745,I70.635,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of foot
10746,I70.638,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of lower leg
10747,I70.639,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of unspecified site
10748,I70.64,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration
10749,I70.641,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of thigh
10750,I70.642,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of calf
10751,I70.643,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of ankle
10752,I70.644,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of heel and midfoot
10753,I70.645,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of other part of foot
10754,I70.648,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of other part of lower leg
10755,I70.649,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of unspecified site
10756,I70.65,Atherosclerosis of nonbiological bypass graft(s) of other extremity with ulceration
10757,I70.66,Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene
10758,I70.661,Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene and right leg
10759,I70.662,Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene and left leg
10760,I70.663,Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene and bilateral legs
10761,I70.668,Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene and other extremity
10762,I70.669,Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene and unspecified extremity
10763,I70.69,Other atherosclerosis of nonbiological bypass graft(s) of the extremities
10764,I70.691,Other atherosclerosis of nonbiological bypass graft(s) of the extremities and right leg
10765,I70.692,Other atherosclerosis of nonbiological bypass graft(s) of the extremities and left leg
10766,I70.693,Other atherosclerosis of nonbiological bypass graft(s) of the extremities and bilateral legs
10767,I70.698,Other atherosclerosis of nonbiological bypass graft(s) of the extremities and other extremity
10768,I70.699,Other atherosclerosis of nonbiological bypass graft(s) of the extremities and unspecified extremity
10769,I70.7,Atherosclerosis of other type of bypass graft(s) of the extremities
10770,I70.70,Unspecified atherosclerosis of other type of bypass graft(s) of the extremities
10771,I70.701,Unspecified atherosclerosis of other type of bypass graft(s) of the extremities and right leg
10772,I70.702,Unspecified atherosclerosis of other type of bypass graft(s) of the extremities and left leg
10773,I70.703,Unspecified atherosclerosis of other type of bypass graft(s) of the extremities and bilateral legs
10774,I70.708,Unspecified atherosclerosis of other type of bypass graft(s) of the extremities and other extremity
10775,I70.709,Unspecified atherosclerosis of other type of bypass graft(s) of the extremities and unspecified extremity
10776,I70.71,Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication
10777,I70.711,Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication and right leg
10778,I70.712,Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication and left leg
10779,I70.713,Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication and bilateral legs
10780,I70.718,Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication and other extremity
10781,I70.719,Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication and unspecified extremity
10782,I70.72,Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain
10783,I70.721,Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain and right leg
10784,I70.722,Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain and left leg
10785,I70.723,Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain and bilateral legs
10786,I70.728,Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain and other extremity
10787,I70.729,Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain and unspecified extremity
10788,I70.73,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration
10789,I70.731,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of thigh
10790,I70.732,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of calf
10791,I70.733,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of ankle
10792,I70.734,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of heel and midfoot
10793,I70.735,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of foot
10794,I70.738,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of lower leg
10795,I70.739,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of unspecified site
10796,I70.74,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration
10797,I70.741,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of thigh
10798,I70.742,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of calf
10799,I70.743,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of ankle
10800,I70.744,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of heel and midfoot
10801,I70.745,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of other part of foot
10802,I70.748,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of other part of lower leg
10803,I70.749,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of unspecified site
10804,I70.75,Atherosclerosis of other type of bypass graft(s) of other extremity with ulceration
10805,I70.76,Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene
10806,I70.761,Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene and right leg
10807,I70.762,Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene and left leg
10808,I70.763,Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene and bilateral legs
10809,I70.768,Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene and other extremity
10810,I70.769,Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene and unspecified extremity
10811,I70.79,Other atherosclerosis of other type of bypass graft(s) of the extremities
10812,I70.791,Other atherosclerosis of other type of bypass graft(s) of the extremities and right leg
10813,I70.792,Other atherosclerosis of other type of bypass graft(s) of the extremities and left leg
10814,I70.793,Other atherosclerosis of other type of bypass graft(s) of the extremities and bilateral legs
10815,I70.798,Other atherosclerosis of other type of bypass graft(s) of the extremities and other extremity
10816,I70.799,Other atherosclerosis of other type of bypass graft(s) of the extremities and unspecified extremity
10817,I70.8,Atherosclerosis of other arteries
10818,I70.9,Other and unspecified atherosclerosis
10819,I70.90,Unspecified atherosclerosis
10820,I70.91,Generalized atherosclerosis
10821,I70.92,Chronic total occlusion of artery of the extremities
10822,I71,Aortic aneurysm and dissection
10823,I71.0,Dissection of aorta
10824,I71.00,Dissection of unspecified site of aorta
10825,I71.01,Dissection of thoracic aorta
10826,I71.02,Dissection of abdominal aorta
10827,I71.03,Dissection of thoracoabdominal aorta
10828,I71.1,Thoracic aortic aneurysm and ruptured
10829,I71.2,Thoracic aortic aneurysm and without rupture
10830,I71.3,Abdominal aortic aneurysm and ruptured
10831,I71.4,Abdominal aortic aneurysm and without rupture
10832,I71.5,Thoracoabdominal aortic aneurysm and ruptured
10833,I71.6,Thoracoabdominal aortic aneurysm and without rupture
10834,I71.8,Aortic aneurysm of unspecified site and ruptured
10835,I71.9,Aortic aneurysm of unspecified site and without rupture
10836,I72,Other aneurysm
10837,I72.0,Aneurysm of carotid artery
10838,I72.1,Aneurysm of artery of upper extremity
10839,I72.2,Aneurysm of renal artery
10840,I72.3,Aneurysm of iliac artery
10841,I72.4,Aneurysm of artery of lower extremity
10842,I72.5,Aneurysm of other precerebral arteries
10843,I72.6,Aneurysm of vertebral artery
10844,I72.8,Aneurysm of other specified arteries
10845,I72.9,Aneurysm of unspecified site
10846,I73,Other peripheral vascular diseases
10847,I73.8,Other specified peripheral vascular diseases
10848,I73.81,Erythromelalgia
10849,I73.89,Other specified peripheral vascular diseases
10850,I73.9,Peripheral vascular disease and unspecified
10851,I74,Arterial embolism and thrombosis
10852,I74.0,Embolism and thrombosis of abdominal aorta
10853,I74.01,Saddle embolus of abdominal aorta
10854,I74.09,Other arterial embolism and thrombosis of abdominal aorta
10855,I74.1,Embolism and thrombosis of other and unspecified parts of aorta
10856,I74.10,Embolism and thrombosis of unspecified parts of aorta
10857,I74.11,Embolism and thrombosis of thoracic aorta
10858,I74.19,Embolism and thrombosis of other parts of aorta
10859,I74.2,Embolism and thrombosis of arteries of the upper extremities
10860,I74.3,Embolism and thrombosis of arteries of the lower extremities
10861,I74.4,Embolism and thrombosis of arteries of extremities and unspecified
10862,I74.5,Embolism and thrombosis of iliac artery
10863,I74.8,Embolism and thrombosis of other arteries
10864,I74.9,Embolism and thrombosis of unspecified artery
10865,I75,Atheroembolism
10866,I75.0,Atheroembolism of extremities
10867,I75.01,Atheroembolism of upper extremity
10868,I75.011,Atheroembolism of right upper extremity
10869,I75.012,Atheroembolism of left upper extremity
10870,I75.013,Atheroembolism of bilateral upper extremities
10871,I75.019,Atheroembolism of unspecified upper extremity
10872,I75.02,Atheroembolism of lower extremity
10873,I75.021,Atheroembolism of right lower extremity
10874,I75.022,Atheroembolism of left lower extremity
10875,I75.023,Atheroembolism of bilateral lower extremities
10876,I75.029,Atheroembolism of unspecified lower extremity
10877,I75.8,Atheroembolism of other sites
10878,I75.81,Atheroembolism of kidney
10879,I75.89,Atheroembolism of other site
10880,I76,Septic arterial embolism
10881,I77,Other disorders of arteries and arterioles
10882,I77.0,Arteriovenous fistula and acquired
10883,I77.1,Stricture of artery
10884,I77.2,Rupture of artery
10885,I77.3,Arterial fibromuscular dysplasia
10886,I77.4,Celiac artery compression syndrome
10887,I77.5,Necrosis of artery
10888,I77.6,Arteritis and unspecified
10889,I77.7,Other arterial dissection
10890,I77.70,Dissection of unspecified artery
10891,I77.71,Dissection of carotid artery
10892,I77.72,Dissection of iliac artery
10893,I77.73,Dissection of renal artery
10894,I77.74,Dissection of vertebral artery
10895,I77.75,Dissection of other precerebral arteries
10896,I77.76,Dissection of artery of upper extremity
10897,I77.77,Dissection of artery of lower extremity
10898,I77.79,Dissection of other specified artery
10899,I77.8,Other specified disorders of arteries and arterioles
10900,I77.81,Aortic ectasia
10901,I77.810,Thoracic aortic ectasia
10902,I77.811,Abdominal aortic ectasia
10903,I77.812,Thoracoabdominal aortic ectasia
10904,I77.819,Aortic ectasia and unspecified site
10905,I77.89,Other specified disorders of arteries and arterioles
10906,I77.9,Disorder of arteries and arterioles and unspecified
10907,I78,Diseases of capillaries
10908,I78.0,Hereditary hemorrhagic telangiectasia
10909,I78.1,Nevus and non-neoplastic
10910,I78.8,Other diseases of capillaries
10911,I78.9,Disease of capillaries and unspecified
10912,I79,Disorders of arteries and arterioles and capillaries in diseases classified elsewhere
10913,I79.0,Aneurysm of aorta in diseases classified elsewhere
10914,I79.1,Aortitis in diseases classified elsewhere
10915,I79.8,Other disorders of arteries and arterioles and capillaries in diseases classified elsewhere
10916,I80,Phlebitis and thrombophlebitis
10917,I80.0,Phlebitis and thrombophlebitis of superficial vessels of lower extremities
10918,I80.00,Phlebitis and thrombophlebitis of superficial vessels of unspecified lower extremity
10919,I80.01,Phlebitis and thrombophlebitis of superficial vessels of right lower extremity
10920,I80.02,Phlebitis and thrombophlebitis of superficial vessels of left lower extremity
10921,I80.03,Phlebitis and thrombophlebitis of superficial vessels of lower extremities and bilateral
10922,I80.1,Phlebitis and thrombophlebitis of femoral vein
10923,I80.10,Phlebitis and thrombophlebitis of unspecified femoral vein
10924,I80.11,Phlebitis and thrombophlebitis of right femoral vein
10925,I80.12,Phlebitis and thrombophlebitis of left femoral vein
10926,I80.13,Phlebitis and thrombophlebitis of femoral vein and bilateral
10927,I80.2,Phlebitis and thrombophlebitis of other and unspecified deep vessels of lower extremities
10928,I80.20,Phlebitis and thrombophlebitis of unspecified deep vessels of lower extremities
10929,I80.201,Phlebitis and thrombophlebitis of unspecified deep vessels of right lower extremity
10930,I80.202,Phlebitis and thrombophlebitis of unspecified deep vessels of left lower extremity
10931,I80.203,Phlebitis and thrombophlebitis of unspecified deep vessels of lower extremities and bilateral
10932,I80.209,Phlebitis and thrombophlebitis of unspecified deep vessels of unspecified lower extremity
10933,I80.21,Phlebitis and thrombophlebitis of iliac vein
10934,I80.211,Phlebitis and thrombophlebitis of right iliac vein
10935,I80.212,Phlebitis and thrombophlebitis of left iliac vein
10936,I80.213,Phlebitis and thrombophlebitis of iliac vein and bilateral
10937,I80.219,Phlebitis and thrombophlebitis of unspecified iliac vein
10938,I80.22,Phlebitis and thrombophlebitis of popliteal vein
10939,I80.221,Phlebitis and thrombophlebitis of right popliteal vein
10940,I80.222,Phlebitis and thrombophlebitis of left popliteal vein
10941,I80.223,Phlebitis and thrombophlebitis of popliteal vein and bilateral
10942,I80.229,Phlebitis and thrombophlebitis of unspecified popliteal vein
10943,I80.23,Phlebitis and thrombophlebitis of tibial vein
10944,I80.231,Phlebitis and thrombophlebitis of right tibial vein
10945,I80.232,Phlebitis and thrombophlebitis of left tibial vein
10946,I80.233,Phlebitis and thrombophlebitis of tibial vein and bilateral
10947,I80.239,Phlebitis and thrombophlebitis of unspecified tibial vein
10948,I80.29,Phlebitis and thrombophlebitis of other deep vessels of lower extremities
10949,I80.291,Phlebitis and thrombophlebitis of other deep vessels of right lower extremity
10950,I80.292,Phlebitis and thrombophlebitis of other deep vessels of left lower extremity
10951,I80.293,Phlebitis and thrombophlebitis of other deep vessels of lower extremity and bilateral
10952,I80.299,Phlebitis and thrombophlebitis of other deep vessels of unspecified lower extremity
10953,I80.3,Phlebitis and thrombophlebitis of lower extremities and unspecified
10954,I80.8,Phlebitis and thrombophlebitis of other sites
10955,I80.9,Phlebitis and thrombophlebitis of unspecified site
10956,I81,Portal vein thrombosis
10957,I82,Other venous embolism and thrombosis
10958,I82.0,Budd-Chiari syndrome
10959,I82.1,Thrombophlebitis migrans
10960,I82.2,Embolism and thrombosis of vena cava and other thoracic veins
10961,I82.21,Embolism and thrombosis of superior vena cava
10962,I82.210,Acute embolism and thrombosis of superior vena cava
10963,I82.211,Chronic embolism and thrombosis of superior vena cava
10964,I82.22,Embolism and thrombosis of inferior vena cava
10965,I82.220,Acute embolism and thrombosis of inferior vena cava
10966,I82.221,Chronic embolism and thrombosis of inferior vena cava
10967,I82.29,Embolism and thrombosis of other thoracic veins
10968,I82.290,Acute embolism and thrombosis of other thoracic veins
10969,I82.291,Chronic embolism and thrombosis of other thoracic veins
10970,I82.3,Embolism and thrombosis of renal vein
10971,I82.4,Acute embolism and thrombosis of deep veins of lower extremity
10972,I82.40,Acute embolism and thrombosis of unspecified deep veins of lower extremity
10973,I82.401,Acute embolism and thrombosis of unspecified deep veins of right lower extremity
10974,I82.402,Acute embolism and thrombosis of unspecified deep veins of left lower extremity
10975,I82.403,Acute embolism and thrombosis of unspecified deep veins of lower extremity and bilateral
10976,I82.409,Acute embolism and thrombosis of unspecified deep veins of unspecified lower extremity
10977,I82.41,Acute embolism and thrombosis of femoral vein
10978,I82.411,Acute embolism and thrombosis of right femoral vein
10979,I82.412,Acute embolism and thrombosis of left femoral vein
10980,I82.413,Acute embolism and thrombosis of femoral vein and bilateral
10981,I82.419,Acute embolism and thrombosis of unspecified femoral vein
10982,I82.42,Acute embolism and thrombosis of iliac vein
10983,I82.421,Acute embolism and thrombosis of right iliac vein
10984,I82.422,Acute embolism and thrombosis of left iliac vein
10985,I82.423,Acute embolism and thrombosis of iliac vein and bilateral
10986,I82.429,Acute embolism and thrombosis of unspecified iliac vein
10987,I82.43,Acute embolism and thrombosis of popliteal vein
10988,I82.431,Acute embolism and thrombosis of right popliteal vein
10989,I82.432,Acute embolism and thrombosis of left popliteal vein
10990,I82.433,Acute embolism and thrombosis of popliteal vein and bilateral
10991,I82.439,Acute embolism and thrombosis of unspecified popliteal vein
10992,I82.44,Acute embolism and thrombosis of tibial vein
10993,I82.441,Acute embolism and thrombosis of right tibial vein
10994,I82.442,Acute embolism and thrombosis of left tibial vein
10995,I82.443,Acute embolism and thrombosis of tibial vein and bilateral
10996,I82.449,Acute embolism and thrombosis of unspecified tibial vein
10997,I82.49,Acute embolism and thrombosis of other specified deep vein of lower extremity
10998,I82.491,Acute embolism and thrombosis of other specified deep vein of right lower extremity
10999,I82.492,Acute embolism and thrombosis of other specified deep vein of left lower extremity
11000,I82.493,Acute embolism and thrombosis of other specified deep vein of lower extremity and bilateral
11001,I82.499,Acute embolism and thrombosis of other specified deep vein of unspecified lower extremity
11002,I82.4Y,Acute embolism and thrombosis of unspecified deep veins of proximal lower extremity
11003,I82.4Y1,Acute embolism and thrombosis of unspecified deep veins of right proximal lower extremity
11004,I82.4Y2,Acute embolism and thrombosis of unspecified deep veins of left proximal lower extremity
11005,I82.4Y3,Acute embolism and thrombosis of unspecified deep veins of proximal lower extremity and bilateral
11006,I82.4Y9,Acute embolism and thrombosis of unspecified deep veins of unspecified proximal lower extremity
11007,I82.4Z,Acute embolism and thrombosis of unspecified deep veins of distal lower extremity
11008,I82.4Z1,Acute embolism and thrombosis of unspecified deep veins of right distal lower extremity
11009,I82.4Z2,Acute embolism and thrombosis of unspecified deep veins of left distal lower extremity
11010,I82.4Z3,Acute embolism and thrombosis of unspecified deep veins of distal lower extremity and bilateral
11011,I82.4Z9,Acute embolism and thrombosis of unspecified deep veins of unspecified distal lower extremity
11012,I82.5,Chronic embolism and thrombosis of deep veins of lower extremity
11013,I82.50,Chronic embolism and thrombosis of unspecified deep veins of lower extremity
11014,I82.501,Chronic embolism and thrombosis of unspecified deep veins of right lower extremity
11015,I82.502,Chronic embolism and thrombosis of unspecified deep veins of left lower extremity
11016,I82.503,Chronic embolism and thrombosis of unspecified deep veins of lower extremity and bilateral
11017,I82.509,Chronic embolism and thrombosis of unspecified deep veins of unspecified lower extremity
11018,I82.51,Chronic embolism and thrombosis of femoral vein
11019,I82.511,Chronic embolism and thrombosis of right femoral vein
11020,I82.512,Chronic embolism and thrombosis of left femoral vein
11021,I82.513,Chronic embolism and thrombosis of femoral vein and bilateral
11022,I82.519,Chronic embolism and thrombosis of unspecified femoral vein
11023,I82.52,Chronic embolism and thrombosis of iliac vein
11024,I82.521,Chronic embolism and thrombosis of right iliac vein
11025,I82.522,Chronic embolism and thrombosis of left iliac vein
11026,I82.523,Chronic embolism and thrombosis of iliac vein and bilateral
11027,I82.529,Chronic embolism and thrombosis of unspecified iliac vein
11028,I82.53,Chronic embolism and thrombosis of popliteal vein
11029,I82.531,Chronic embolism and thrombosis of right popliteal vein
11030,I82.532,Chronic embolism and thrombosis of left popliteal vein
11031,I82.533,Chronic embolism and thrombosis of popliteal vein and bilateral
11032,I82.539,Chronic embolism and thrombosis of unspecified popliteal vein
11033,I82.54,Chronic embolism and thrombosis of tibial vein
11034,I82.541,Chronic embolism and thrombosis of right tibial vein
11035,I82.542,Chronic embolism and thrombosis of left tibial vein
11036,I82.543,Chronic embolism and thrombosis of tibial vein and bilateral
11037,I82.549,Chronic embolism and thrombosis of unspecified tibial vein
11038,I82.59,Chronic embolism and thrombosis of other specified deep vein of lower extremity
11039,I82.591,Chronic embolism and thrombosis of other specified deep vein of right lower extremity
11040,I82.592,Chronic embolism and thrombosis of other specified deep vein of left lower extremity
11041,I82.593,Chronic embolism and thrombosis of other specified deep vein of lower extremity and bilateral
11042,I82.599,Chronic embolism and thrombosis of other specified deep vein of unspecified lower extremity
11043,I82.5Y,Chronic embolism and thrombosis of unspecified deep veins of proximal lower extremity
11044,I82.5Y1,Chronic embolism and thrombosis of unspecified deep veins of right proximal lower extremity
11045,I82.5Y2,Chronic embolism and thrombosis of unspecified deep veins of left proximal lower extremity
11046,I82.5Y3,Chronic embolism and thrombosis of unspecified deep veins of proximal lower extremity and bilateral
11047,I82.5Y9,Chronic embolism and thrombosis of unspecified deep veins of unspecified proximal lower extremity
11048,I82.5Z,Chronic embolism and thrombosis of unspecified deep veins of distal lower extremity
11049,I82.5Z1,Chronic embolism and thrombosis of unspecified deep veins of right distal lower extremity
11050,I82.5Z2,Chronic embolism and thrombosis of unspecified deep veins of left distal lower extremity
11051,I82.5Z3,Chronic embolism and thrombosis of unspecified deep veins of distal lower extremity and bilateral
11052,I82.5Z9,Chronic embolism and thrombosis of unspecified deep veins of unspecified distal lower extremity
11053,I82.6,Acute embolism and thrombosis of veins of upper extremity
11054,I82.60,Acute embolism and thrombosis of unspecified veins of upper extremity
11055,I82.601,Acute embolism and thrombosis of unspecified veins of right upper extremity
11056,I82.602,Acute embolism and thrombosis of unspecified veins of left upper extremity
11057,I82.603,Acute embolism and thrombosis of unspecified veins of upper extremity and bilateral
11058,I82.609,Acute embolism and thrombosis of unspecified veins of unspecified upper extremity
11059,I82.61,Acute embolism and thrombosis of superficial veins of upper extremity
11060,I82.611,Acute embolism and thrombosis of superficial veins of right upper extremity
11061,I82.612,Acute embolism and thrombosis of superficial veins of left upper extremity
11062,I82.613,Acute embolism and thrombosis of superficial veins of upper extremity and bilateral
11063,I82.619,Acute embolism and thrombosis of superficial veins of unspecified upper extremity
11064,I82.62,Acute embolism and thrombosis of deep veins of upper extremity
11065,I82.621,Acute embolism and thrombosis of deep veins of right upper extremity
11066,I82.622,Acute embolism and thrombosis of deep veins of left upper extremity
11067,I82.623,Acute embolism and thrombosis of deep veins of upper extremity and bilateral
11068,I82.629,Acute embolism and thrombosis of deep veins of unspecified upper extremity
11069,I82.7,Chronic embolism and thrombosis of veins of upper extremity
11070,I82.70,Chronic embolism and thrombosis of unspecified veins of upper extremity
11071,I82.701,Chronic embolism and thrombosis of unspecified veins of right upper extremity
11072,I82.702,Chronic embolism and thrombosis of unspecified veins of left upper extremity
11073,I82.703,Chronic embolism and thrombosis of unspecified veins of upper extremity and bilateral
11074,I82.709,Chronic embolism and thrombosis of unspecified veins of unspecified upper extremity
11075,I82.71,Chronic embolism and thrombosis of superficial veins of upper extremity
11076,I82.711,Chronic embolism and thrombosis of superficial veins of right upper extremity
11077,I82.712,Chronic embolism and thrombosis of superficial veins of left upper extremity
11078,I82.713,Chronic embolism and thrombosis of superficial veins of upper extremity and bilateral
11079,I82.719,Chronic embolism and thrombosis of superficial veins of unspecified upper extremity
11080,I82.72,Chronic embolism and thrombosis of deep veins of upper extremity
11081,I82.721,Chronic embolism and thrombosis of deep veins of right upper extremity
11082,I82.722,Chronic embolism and thrombosis of deep veins of left upper extremity
11083,I82.723,Chronic embolism and thrombosis of deep veins of upper extremity and bilateral
11084,I82.729,Chronic embolism and thrombosis of deep veins of unspecified upper extremity
11085,I82.A,Embolism and thrombosis of axillary vein
11086,I82.A1,Acute embolism and thrombosis of axillary vein
11087,I82.A11,Acute embolism and thrombosis of right axillary vein
11088,I82.A12,Acute embolism and thrombosis of left axillary vein
11089,I82.A13,Acute embolism and thrombosis of axillary vein and bilateral
11090,I82.A19,Acute embolism and thrombosis of unspecified axillary vein
11091,I82.A2,Chronic embolism and thrombosis of axillary vein
11092,I82.A21,Chronic embolism and thrombosis of right axillary vein
11093,I82.A22,Chronic embolism and thrombosis of left axillary vein
11094,I82.A23,Chronic embolism and thrombosis of axillary vein and bilateral
11095,I82.A29,Chronic embolism and thrombosis of unspecified axillary vein
11096,I82.B,Embolism and thrombosis of subclavian vein
11097,I82.B1,Acute embolism and thrombosis of subclavian vein
11098,I82.B11,Acute embolism and thrombosis of right subclavian vein
11099,I82.B12,Acute embolism and thrombosis of left subclavian vein
11100,I82.B13,Acute embolism and thrombosis of subclavian vein and bilateral
11101,I82.B19,Acute embolism and thrombosis of unspecified subclavian vein
11102,I82.B2,Chronic embolism and thrombosis of subclavian vein
11103,I82.B21,Chronic embolism and thrombosis of right subclavian vein
