ID,CODE,DESCRIPTION,
4654,27229-4,Streptococcus pneumoniae 14 IgG Ab [Mass/volume] in Serum by Immunoassay,
4655,67653-6,How close are you to this person [PhenX],
4656,6269-5,Tulip IgE Ab [Units/volume] in Serum,
4657,8602-5,Cardiac pacemaker prosthetic device Vendor model number by EKG,
4658,61785-2,How much did pain interfere with your ability to do household chores in past 7 days [PROMIS],
4659,69458-8,Cardiology monitoring,
4660,73471-5,Cefepime induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
4661,8436-8,Hepatic artery Systolic blood pressure,
4662,34470-5,Giardia lamblia Ag [Presence] in Bile fluid,
4663,27801-0,Alcohol-substance abuse rehabilitation treatment plan and/or Date onset or exacerbation of primary diagnosis,
4664,51829-0,Lactate [Mass/volume] in Capillary blood,
4665,74403-7,Normoblasts/100 leukocytes in Cord blood,
4666,48808-0,Leukogram panel - Blood,
4667,72739-6,Nordiazepam [Mass/volume] in Saliva (oral fluid) by Confirmatory method,
4668,67718-7,Reason for your hearing difficulty [PhenX],
4669,56345-2,Paprika IgG4 Ab [Mass/volume] in Serum,
4670,18607-2,Current medication Dose,
4671,31970-7,Streptococcus pyogenes Ag [Presence] in Serum,
4672,58074-6,Wr sup(a) Ab [Presence] in Serum or Plasma,
4673,65940-9,Premorbid work adjustment [PhenX],
4674,64277-7,Has this itchy rash at any time affected any of the following places - the folds of the elbows and/or behind the knees and/or in front of the ankles and/or under the buttocks and/or or around the neck and/or ears and/or or eyes [PhenX],
4675,20373-7,Amikacin [Susceptibility] by Method for Slow-growing mycobacteria,
4676,19772-3,Preparation techniques [Type] in Cervical or vaginal smear or scraping by Cyto stain,
4677,10135-2,T' wave amplitude in lead III,
4678,14918-7,Thyroglobulin [Moles/volume] in Serum or Plasma,
4679,70815-6,I need to rest during the day in the past 7 days [FACIT],
4680,44266-5,Influenza virus A H7 RNA [Units/volume] (viral load) in Unspecified specimen by Probe and target amplification method,
4681,1498-5,Glucose [Mass/volume] in Serum or Plasma --10 minutes post 0.5 g/kg glucose IV,
4682,74130-6,6-Monoacetylmorphine (6-MAM) [Mass/volume] in Serum and/or Plasma or Blood,
4683,52900-8,Vanadium/Creatinine [Molar ratio] in 24 hour Urine,
4684,45785-3,Open lesions other than ulcers and/or rashes and/or cuts [Minimum Data Set],
4685,9546-3,Legionella pneumophila 3 IgG Ab [Titer] in Serum by Immunofluorescence,
4686,65333-7,Sc^1 Ab [Presence] in Serum or Plasma,
4687,58023-3,Rabies virus IgG Ab [Units/volume] in Serum,
4688,27710-3,Respiratory therapy treatment plan and/or Date range (from/through) described by plan Set,
4689,68469-6,Pastoral care Hospital Consult note,
4690,71679-5,Eosinophils/Leukocytes [Pure number fraction] in Blood by Automated count,
4691,10838-1,Phosphoserine [Mass/volume] in Serum or Plasma,
4692,38422-2,C peptide [Moles/volume] in Serum or Plasma --1 hour post XXX challenge,
4693,64753-7,During the last 12 months has your child appeared to have difficulty seeing [PhenX],
4694,20207-7,Left ventricular Cardiac output by US 2D left ventricular outflow tract calculated,
4695,63382-6,Fasting glucose [Mass/volume] in Urine,
4696,11495-9,Physical therapy Initial assessment note at First encounter,
4697,30062-4,Arginine/Creatinine [Ratio] in Urine,
4698,12919-7,Monoamine oxidase [Enzymatic activity/volume] in Blood,
4699,60601-2,Lower incisor to A point-pogonion line [Length] Skull X-ray measured,
4700,43021-5,Herpes virus 8 IgG Ab [Units/volume] in Serum,
4701,10845-6,HLA-DQ4 [Presence],
4702,7295-9,Egg yolk triggered histamine release [Units/volume] in Blood,
4703,43407-6,Bacteria identified in Wound deep by Culture,
4704,21532-7,Spermatozoa Motile/100 spermatozoa in Semen --2 hours post ejaculation,
4705,16513-4,Calcium.ionized [Moles/volume] in Serum or Plasma --3rd specimen post XXX challenge,
4706,7404-7,Shagbark Hickory IgE Ab [Units/volume] in Serum,
4707,33645-3,A2 Ab [Titer] in Serum or Plasma,
4708,42797-1,Age at first pregnancy,
4709,2082-6,Cholestanol [Mass/volume] in Serum or Plasma,
4710,44275-6,Coxiella burnetii [Presence] in Unspecified specimen by Light microscopy,
4711,33314-6,Rheumatoid factor IgG [Units/volume] in Serum,
4712,62756-2,Deprecated PhenX measure - parkinsonian symptoms,
4713,34909-2,Cortisol Free [Mass/volume] in 24 hour Urine by HPLC,
4714,8094-5,Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum,
4715,70912-1,Additional concerns - physical [FACIT],
4716,31625-7,Sjogrens syndrome-A extractable nuclear IgG Ab [Presence] in Serum,
4717,17816-0,Beta globulin/Protein.total in Body fluid by Electrophoresis,
4718,6996-3,Ceftibuten [Susceptibility] by Gradient strip (E-test),
4719,68087-6,I am disappointed in my ability to perform my daily routines in the past 7 days [NeuroQol],
4720,27456-3,Cardiac rehabilitation treatment plan and/or Author ID Identifier,
4721,9510-9,Deprecated Chromium [Mass/volume] in Serum or Plasma,
4722,45577-4,Unhappy with roommate [Minimum Data Set],
4723,51720-1,Potassium [Mass/time] in 24 hour Urine,
4724,25458-1,Lamotrigine [Moles/volume] in Serum or Plasma,
4725,62622-6,Deprecated PhenX measure - respiratory - peak expiratory flow rate - PEFR,
4726,7185-2,Cat dander triggered histamine release [Units/volume] in Blood,
4727,542-1,Mycobacterium sp identified in Wound by Organism specific culture,
4728,8934-2,Enteral tube site,
4729,51422-4,Aldosterone [Moles/volume] in Serum or Plasma --pre or post XXX challenge,
4730,62753-9,PhenX - psychopathy protocol,
4731,27458-9,Cardiac rehabilitation treatment plan and/or Start date of hospitalization leading to treatment,
4732,10426-5,Transfuse whole blood [Volume],
4733,63139-0,Wine vinegar IgG Ab [Mass/volume] in Serum,
4734,69989-2,Positive airway pressure device usage 1 month mean,
4735,75067-9,Indole-3-Acetate [Moles/volume] in Serum or Plasma,
4736,59150-3,Vancomycin resistant enterococcus [Presence] in Anal by Organism specific culture,
4737,69051-1,Urinalysis specialist review of results,
4738,64641-4,You developed pubic hair Compared to your friends this was [PhenX],
4739,75019-0,t(9;22)(q34.1;q11)(ABL1,BCR) e1a2 fusion transcript [Presence] in Bone marrow by Molecular genetics method,
4740,13806-5,Sarcosine/Creatinine [Mass Ratio] in Urine,
4741,16281-8,Trazodone [Units/volume] in Urine,
4742,70195-3,Dysarthria [NIH Stroke Scale],
4743,4169-9,Cefuroxime Parenteral [Mass] of Dose,
4744,29626-9,3-Hydroxysebacate ( 3-OH-C8) [Presence] in Urine,
4745,24315-4,Cytomegalovirus IgG and IgM panel - Serum,
4746,20139-2,Volume expired 1 minute,
4747,13732-3,Dodecanedioate/Creatinine [Mass Ratio] in Urine,
4748,69805-0,2-Dechloroethylifosfamide [Mass/volume] in Blood --12 hours post dose ifosfamide,
4749,41402-9,Emtricitabine [Susceptibility] by Genotype method,
4750,65129-9,Does your child sometimes say you or your child when he or she means I [PhenX],
4751,14487-3,Mycoplasma sp and Ureaplasma sp [Identifier] in Urethra by Organism specific culture,
4752,61505-4,How many years did you take Zinc [PhenX],
4753,55915-3,Beta 2 globulin [Mass/volume] in Cerebral spinal fluid by Electrophoresis,
4754,59165-1,Carbon dioxide [Partial pressure] in Dialysis fluid,
4755,43926-5,Babesia sp Ab [Presence] in Serum,
4756,47913-9,Somatotropin [Units/volume] in Serum or Plasma --30 minutes post dose ornithine,
4757,57081-2,Anesthesia risk review of systems Narrative,
4758,14969-0,CD7 Abnormal blood cells/Abnormal blood cells.total in Blood,
4759,23785-9,Trypanosoma cruzi Ab [Presence] in Serum,
4760,52105-4,Alcohol-substance abuse rehabilitation treatment plan and/or Next plan of treatment (narrative) Text,
4761,59309-5,Metaxalone [Mass/volume] in Urine,
4762,1317-7,S Ab [Presence] in Serum or Plasma,
4763,63643-1,Drug type used in your lifetime [PhenX],
4764,74359-1,Cholesterol ester transfer protein actual/normal in Serum or Plasma,
4765,61732-4,When I was in pain I used a cane or something else for support in past 7 days [PROMIS],
4766,38920-5,MFN2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,
4767,15408-8,Thallium [Mass/mass] in Hair,
4768,64435-1,Medication time and date [PhenX] --Pre excercise,
4769,16787-4,Dopamine [Mass/volume] in Urine --5th specimen post XXX challenge,
4770,14573-0,5-Hydroxyindoleacetate [Moles/time] in 24 hour Urine,
4771,23311-4,Myxoma virus Ag [Presence] in Unspecified specimen by Immunofluorescence,
4772,71120-0,I feel left out of things in the past 7 days [FACIT],
4773,59285-7,Benzylpiperazine [Mass/volume] in Blood,
4774,74886-3,Stigmasterol [Moles/volume] in Serum or Plasma,
4775,26585-0,3-Methylhistidine [Moles/volume] in Cerebral spinal fluid,
4776,63898-1,Gender of relative family member [PhenX],
4777,29877-8,Methylmalonate [Presence] in Urine,
4778,69501-5,Squatting - difficulty [OPTIMAL],
4779,46267-1,Proteinase 3 Ab [Units/volume] in Serum by Immunoassay,
4780,48777-7,Immunoglobulin light chains.kappa.free/Albumin in Serum and CSF,
4781,4731-6,HLA-A2 [Presence],
4782,44568-4,Influenza virus B Ab [Presence] in Serum by Complement fixation,
4783,30124-2,Amylase [Enzymatic activity/time] in 1 hour Urine,
4784,16983-9,Hydralazine [Presence] in Urine,
4785,12973-4,Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --4th specimen,
4786,22503-7,Measles virus IgG Ab [Units/volume] in Serum --1st specimen,
4787,65653-8,Test challenge type Respiratory system,
4788,21019-5,Metanephrine [Mass/volume] in 24 hour Urine,
4789,54101-1,2-Methylpropyl methylphosphonate [Mass/volume] in Urine,
4790,55207-5,Genetic analysis discrete result panel - Blood or Tissue by Molecular genetics method,
4791,39230-8,Sickle cell screen test status CPHS,
4792,611-4,Bacteria identified in Body fluid by Culture,
4793,56481-5,Immunoglobulin light chains.lambda.free [Presence] in Urine by Immunofixation,
4794,52194-8,Cardiac rehabilitation treatment plan and/or Referring person identifier,
4795,21881-8,Chemotherapy treatment at facility.YYY Cancer,
4796,71808-0,I feel tired - have no energy since I took my last screen [M3],
4797,65862-5,Recurring coronary heart disease 2Y risk [#] Framingham.D'Agostino 2000,
4798,32194-3,Monocytes+Macrophages [Presence] in Pleural fluid by Light microscopy,
4799,44685-6,Distance of invasive melanoma to closest deep margin by CAP cancer protocols,
4800,52184-9,Pulmonary therapy service attachment,
4801,232-9,Erythromycin [Susceptibility] by Minimum lethal concentration (MLC),
4802,42209-7,Microscopic observation [Identifier] in Cerebral spinal fluid by Cyto stain,
4803,38407-3,PAX3 gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,
4804,13742-2,Formate/Creatinine [Mass Ratio] in Urine,
4805,56749-5,Estradiol (E2) [Mass/volume] in Serum or Plasma --30 minutes post XXX challenge,
4806,73845-0,16-Alpha hydroxydehydroepiandrosterone [Moles/time] in 24 hour Urine,
4807,55912-0,Arylsulfatase [Enzymatic activity/volume] in Dried blood spot,
4808,32459-0,Physical findings of Optic lens,
4809,21478-3,Deprecated Potato IgE Ab RAST class in Serum,
4810,44043-8,Basophils [Presence] in Pleural fluid by Light microscopy,
4811,59663-5,Diclofenac [Mass/volume] in Urine,
4812,26915-9,Pyridoxine [Presence] in Blood,
4813,31877-4,Measles virus Ag [Presence] in Eye,
4814,22422-0,Mycoplasma gallisepticum Ab [Presence] in Serum,
4815,38210-1,Pain alleviating factors - Reported,
4816,19691-5,Psilocybin cutoff [Mass/volume] in Urine for Confirmatory method,
4817,22416-2,Mumps virus IgG Ab [Titer] in Cerebral spinal fluid,
4818,11352-2,History of Allergenic and Immunologic disorders Narrative,
4819,44747-4,La Crosse virus Ab [Presence] in Serum,
4820,62046-8,I was satisfied with my ability to work (include work at home) in past 7 days [PROMIS],
4821,19219-5,Oxygen content in Capillary blood,
4822,46776-1,CPT2/CACT newborn screen interpretation,
4823,47218-3,Cholesterol in VLDL 3+4 [Mass/volume] in Serum or Plasma,
4824,60618-6,Facial taper [Angle] Skull X-ray measured,
4825,16694-2,Cumene [Presence] in Blood,
4826,11564-2,Intrinsic factor Ab [Units/volume] in Serum,
4827,42767-4,Borrelia burgdorferi IgG and IgM [interpretation] in Cerebral spinal fluid,
4828,21809-9,t(14;18)(q32;q21.3)(IGH,BCL2) fusion transcript major breakpoints [Presence] in Blood or Tissue by Molecular genetics method,
4829,35859-8,Virginiamycin [Susceptibility] by Disk diffusion (KB),
4830,7427-8,Hymenopterase IgE Ab [Units/volume] in Serum,
4831,69345-7,Physical findings - DEEDS 1.0 Genitalia Narrative,
4832,57263-6,Medication procedures andor treatments [OASIS-C],
4833,42784-9,Ethnic background Stated,
4834,43874-7,Influenza virus A Ag [Presence] in Nasopharynx,
4835,3523-8,Cyclosporine [Mass/volume] in Blood --12 hours post dose,
4836,58314-6,Type of chest discomfort,
4837,34683-3,Activated partial thromboplastin time (aPTT).factor substitution in Platelet poor plasma by Coagulation assay --immediately after addition of factor IX depleted plasma,
4838,48308-1,DNA double strand Ab [Units/volume] in Body fluid by Farr method,
4839,51806-8,Chlamydophila pneumoniae IgG Ab [Units/volume] in Serum by Immunoassay,
4840,44789-6,Amylase and Creatinine clearance panel - Urine and Serum or Plasma,
4841,73854-2,Aldosterone-18-Glucuronide [Moles/time] in 24 hour Urine,
4842,4509-6,Complement C8 [Mass/volume] in Serum or Plasma,
4843,51639-3,Acanthocytes/1000 erythrocytes in Blood by Light microscopy,
4844,46708-4,Food Allergen Mix 1 (Peanut+Brazil nut+Coconut+Hazelnut+Almond) IgE Ab [Units/volume] in Serum by Multidisk,
4845,30181-2,Lymphocytes clefted [#/volume] in Blood by Manual count,
4846,29052-8,Perimeter format TEC,
4847,15186-0,IgM [Presence] in Serum by Immunoelectrophoresis,
4848,73268-5,Midazolam induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
4849,64981-4,Lepidoglyphus destructor recombinant (rLep d) 2 IgE Ab [Units/volume] in Serum,
4850,19770-7,Deprecated Specimen source [Identifier] in Cervical or vaginal smear or scraping by Cyto stain,
4851,10646-8,Astrovirus [Identifier] in Stool by Electron microscopy,
4852,18467-1,Venlafaxine [Mass/volume] in Urine,
4853,13848-7,CD3+CD26+ cells [#/volume] in Blood,
4854,33838-4,Mannitol [Moles/volume] in Serum or Plasma,
4855,64268-6,In the last 12 months and/or has your chest sounded wheezy during or after exercise [PhenX],
4856,57479-8,11-Ketoandrosterone [Mass/volume] in 24 hour Urine --pre dose dexamethasone,
4857,46215-0,Wound care management Note,
4858,34483-8,Medications report request,
4859,11666-5,Fetal Aorta ascending Mean blood flow US.doppler,
4860,48900-5,Orientia tsutsugamushi Kato IgG Ab [Titer] in Body fluid by Immunofluorescence,
4861,2728-4,Parathion [Mass/volume] in Serum or Plasma,
4862,28956-1,Sphere Contact lens prescription - left,
4863,68288-0,With a walking aid and/or I could walk up and down curbs in the past 7 days [NeuroQol.Peds],
4864,21763-8,HTT gene CAG repeats [Presence] in Blood or Tissue by Molecular genetics method,
4865,27817-6,Beta 2 glycoprotein 1 Ab [Presence] in Serum by Immunoassay,
4866,43719-4,Acetaminophen+Oxycodone [Presence] in Serum or Plasma,
4867,46245-7,Mycobacterium tuberculosis pyrazinamide resistance (pncA) gene [Identifier] by Probe and target amplification method,
4868,47519-4,History of Procedures Document,
4869,28420-8,Social Contact Status Family [OMAHA],
4870,40565-4,Promyelocytes [#/volume] in Body fluid by Manual count,
4871,55499-8,Insulin [Moles/volume] in Serum or Plasma --15 minutes post dose glucose IV,
4872,70168-0,Hematocrit [Volume Fraction] of Synovial fluid,
4873,64457-5,I get afraid or panic when I cannot get my breath [PhenX],
4874,62878-4,Deprecated PhenX measure - conditions relevant to immune response - screener,
4875,42532-2,Thermoactinomyces candidus Ab [Presence] in Cerebral spinal fluid,
4876,1208-8,little s Ab [Presence] in Serum or Plasma from Blood product unit,
4877,60595-6,Face mid/Face all Skull X-ray measured,
4878,41253-6,Xylose [Mass/volume] in Urine --4 hours post 25 g xylose PO,
4879,48057-4,Human bocavirus IgG Ab [Presence] in Unspecified specimen by Immunoassay,
4880,59840-9,Dehydroepiandrosterone (DHEA) [Mass/volume] in Serum or Plasma --8th specimen post XXX challenge,
4881,12985-8,2,6 toluenediamine [Mass/volume] in Blood,
4882,71600-1,Macrophages/Leukocytes [Pure number fraction] in Pericardial fluid by Manual count,
4883,33589-3,Phosphatidylinositol Ab [Units/volume] in Serum by Immunoassay,
4884,55262-0,Influenza virus immunization status,
4885,51051-1,CD126 blasts/100 blasts in Unspecified specimen,
4886,50613-9,Hydrogen/Expired gas [Volume Fraction] in Exhaled gas --3.5 hours post XXX challenge,
4887,15298-3,Urinary bladder Height by US,
4888,51250-9,CD15 cells/100 cells in Cerebral spinal fluid,
4889,70483-3,Have you ever smoked [FACIT],
4890,9998-6,R wave duration in lead AVF,
4891,19773-1,Recommended follow-up [Identifier] in Cervical or vaginal smear or scraping by Cyto stain,
4892,56258-7,Gum-Tree IgG4 Ab [Mass/volume] in Serum,
4893,33882-2,Collection date of Unspecified specimen,
4894,3845-5,Nandrolone [Mass/time] in 24 hour Urine,
4895,15972-3,Rabbit serum proteins IgE Ab RAST class [Presence] in Serum,
4896,25901-0,D-Lactate [Moles/volume] in Serum or Plasma --3rd specimen post excercise,
4897,55291-9,Sulopenem [Susceptibility] by Disk diffusion (KB),
4898,4695-3,HLA-A w19 [Presence] in donor,
4899,57180-2,Neisseria gonorrhoeae DNA [Presence] in Nasopharynx by Probe and target amplification method,
4900,9997-8,R wave axis,
4901,59496-0,Collaborative staging site-specific factor 14 Cancer,
4902,33575-2,Chlamydia trachomatis I Ab [Titer] in Serum by Immunofluorescence,
4903,22075-6,DMD gene mutations tested for in Blood or Tissue by Molecular genetics method Nominal,
4904,1458-9,Creatinine [Mass/volume] in 24 hour Urine --pre 500 ug dexamethasone PO 2.5 day low dose q6h,
4905,60472-8,Complement C5.functional [Units/volume] in Serum or Plasma,
4906,2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,
4907,46054-3,Preferred activity settings Set,
4908,21868-5,User ID.hospital assigned Abstractor,
4909,61605-2,Are you able to run or jog for two miles [PROMIS],
4910,5951-9,Deprecated Activated partial thrombplastin time (aPTT).factor substitution in Platelet poor plasma from control by Coagulation assay --immediately after addition of normal plasma,
4911,56705-7,Tobramycin IgE Ab [Units/volume] in Serum,
4912,44595-7,IgG [Presence] in 24 hour Urine by Immunofixation,
4913,12596-3,Estradiol (E2) [Mass/volume] in Serum or Plasma --3 hours post XXX challenge,
4914,70109-4,Number of chromosome 13 present [#] in Amniotic fluid by Probe and target amplification method,
4915,66728-7,Adenovirus DNA [Log #/volume] (viral load) in Skin by Probe and target amplification method,
4916,17029-0,Isoleucine [Presence] in Urine,
4917,51382-0,Erythrocytes [#/area] in Synovial fluid by Light microscopy,
4918,46923-9,Reproductive Function Status Family [OMAHA],
4919,12014-7,Cerebral artery middle Resistivity index US.doppler,
4920,57141-4,Infectious disease Referral note,
4921,13562-4,Gentamicin [Mass/volume] in Body fluid,
4922,54531-9,Active disease diagnosis,
4923,72612-5,Alprazolam [Presence] in Saliva (oral fluid),
4924,24377-4,Platelet aggregation ADP induced [Presence] in Platelet rich plasma,
4925,22912-0,Bovine herpesvirus 1 Ag [Presence] in Tissue by Immune stain,
4926,14808-0,Lead [Moles/volume] in Urine,
4927,69715-1,Were you afraid you were dying [Reported.PHQ],
4928,56163-9,Hand dominance - 12 years [EHI],
4929,70277-9,t(3;5)(q25.1;q35.1)(MLF1,NPM1) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method,
4930,14326-3,Eosinophils/100 leukocytes in Stool by Manual count,
4931,75222-0,Microscopic observation [Identifier] in Throat by Alberts stain,
4932,67818-5,Parainfluenza virus 4a RNA [Presence] in Unspecified specimen by Probe and target amplification method,
4933,44458-8,Brucella abortus IgG+IgM Ab [Units/volume] in Serum,
4934,64212-4,Job or industry with gas or chemical fumes [PhenX],
4935,32416-0,Newborn complication,
4936,40602-5,Alpha 1 antitrypsin [Presence] in Urine by Immunoelectrophoresis,
4937,68167-6,I felt that no one loved me in the past 7 days [NeuroQol.Peds],
4938,14013-7,Platelet associated IgM Ab [Units/volume] in Blood by Flow cytometry (FC),
4939,50602-2,HPA-5 [Type] in Blood,
4940,10197-2,Physical findings of Eye Narrative,
4941,21611-9,Age estimated,
4942,34311-1,Galactose [Moles/volume] in Urine,
4943,20232-5,Left ventricular outflow tract Mean blood flow by US.doppler,
4944,6776-9,Estrone (E1) [Mass/time] in 24 hour Urine,
4945,21245-6,Diisobutylketone [Mass/volume] in Urine,
4946,30038-4,Toxoplasma gondii IgG Ab [Units/volume] in Cerebral spinal fluid by Immunoassay,
4947,35444-9,HIV 1 p55 Ab [Presence] in Saliva (oral fluid) by Immunoblot (IB),
4948,44978-5,Chlamydophila psittaci IgA Ab [Presence] in Serum,
4949,33265-0,Toxoplasma gondii IgA Ab [Units/volume] in Cerebral spinal fluid,
4950,10085-9,ST initial amplitude 6 ms in lead I,
4951,58834-3,Thyrotropin [Units/volume] in Serum or Plasma --15 minutes pre XXX challenge,
4952,3559-2,Digitoxin [Mass/volume] in Serum or Plasma,
4953,14413-9,Aspartate aminotransferase [Enzymatic activity/volume] in Urine,
4954,65954-0,Slowed activity [PhenX],
4955,75142-0,Adenosine [Moles/volume] in Serum or Plasma,
4956,6752-0,Glucose [Mass/volume] in Serum or Plasma --3.5 hours post 75 g glucose PO,
4957,53431-3,Fibroblast growth factor 23 [Units/volume] in Plasma by Immunoassay --6th specimen post XXX challenge,
4958,57076-2,Postpartum hospitalization treatment Narrative,
4959,66994-5,How many times in the last year have you made obscene telephone calls such as calling someone and saying dirty things [PhenX],
4960,50475-3,Calcitonin [Mass/volume] in Serum or Plasma --7th specimen,
4961,51029-7,CD117 blasts [Units/volume] in Blood,
4962,73769-2,Infections present AndOr treated during this pregnancy for fetal death [US Standard Report of Fetal Death],
4963,47794-3,Tyrosine/Amino acids.total in Amniotic fluid,
4964,8804-7,Right ventricular Stroke volume index by Nuclear.myocardial,
4965,25487-0,Nickel [Moles/time] in 24 hour Urine,
4966,22668-8,Propylene glycol [Moles/volume] in Serum or Plasma,
4967,898-7,Blood group antibody screen.cell I [Presence] in Serum or Plasma by Prewarmed,
4968,51935-5,Trypsinogen I Free [Presence] in Dried blood spot,
4969,58852-5,Osmolality of Urine--1.5 hours post fluid fast,
4970,48172-1,Deprecated Isoniazid 0.4 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria,
4971,28918-1,Over refraction cylinder Contact lens - left,
4972,21378-5,Malathion [Mass/volume] in Urine,
4973,49041-7,Testosterone [Mass/volume] in Serum or Plasma by Detection limit <= 1.0 ng/dL,
4974,5993-1,Platelet aggregation arachidonate induced [Substance threshold] in Platelet rich plasma,
4975,70700-0,I worry that the infection will get worse in the past 7 days [FACIT],
4976,25199-1,Rifabutin 1 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria,
4977,14675-3,Cortisol [Moles/volume] in Serum or Plasma,
4978,11764-8,Fetal weight estimated from Abdominal diameter and Femur length (US),
4979,56809-7,ED tech [Identifier] Provider,
4980,64456-7,My chest trouble is a nuisance to my family and/or friends or neighbors [PhenX],
4981,6036-8,Deprecated Barley IgE Ab [Units/volume] in Serum,
4982,20504-7,Histiocytes/100 cells in Cerebral spinal fluid,
4983,73476-4,Caspofungin induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
4984,74735-2,Health data repository [Identifier],
4985,12578-1,Creatinine [Mass/volume] in Peritoneal dialysis fluid --3rd specimen,
4986,34048-9,Dental material used/Proposed,
4987,47944-4,Testosterone [Mass/volume] in Serum or Plasma --4 hours post 5000 U HCG IM,
4988,38445-3,Calprotectin [Mass/mass] in Stool,
4989,63234-9,DNA double strand IgM Ab [Units/volume] in Cerebral spinal fluid by Immunoassay,
4990,13020-3,Pesticides [Identifier] in Blood,
4991,24180-2,Coxsackievirus B1 Ab [Titer] in Serum by Neutralization test --2nd specimen,
4992,54895-8,Staff assessment for mental status [MDSv3],
4993,45267-2,Acute leukemia markers [interpretation] in Unspecified specimen Narrative,
4994,51825-8,Bordetella parapertussis Ab [Units/volume] in Serum by Immunoassay,
4995,33183-5,Fetal body weight growth percentile estimated from gestational age by method of Campbell 1991 (US),
4996,69856-3,Are you deaf and/or or do you have serious difficulty hearing [HHS.ACA Section 4302],
4997,55025-1,Start date of speech language pathology and audiology services [MDSv3],
4998,7029-2,Meropenem [Susceptibility] by Gradient strip (E-test),
4999,25748-5,Ribosomal Ab [Titer] in Serum by Immunofluorescence,
5000,17080-3,Fatty acids.very long chain [Identifier] in Serum or Plasma,
5001,19819-2,Post GI procedure instructions [Instructions] Narrative,
5002,66211-4,Treadmill speed during warm up [PhenX],
5003,3242-5,Recalcification time in Platelet poor plasma by Coagulation assay,
5004,21495-7,Rickettsia spotted fever group IgM Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,
5005,52505-5,Hearing and/or Vision and/or and Communication,
5006,50375-5,Nucleated cells [#/volume] in Bronchial specimen by Manual count,
5007,15663-8,Crab IgE Ab RAST class [Presence] in Serum,
5008,51416-6,Tiglylcarnitine (C5:1) [Moles/volume] in Serum or Plasma,
5009,75054-7,Glutaryl CoA dehydrogenase [Enzymatic activity/mass] in Leukocytes,
5010,11933-9,Gestational age estimated from Head circumference by method of Hoffbauer 1979 (US),
5011,26566-0,CD19+Lambda+ cells/100 cells in Unspecified specimen,
5012,66746-9,Specimen type,
5013,70365-2,I am bothered by constipation in the past 7 days [FACIT],
5014,73468-1,Ceftazidime induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
5015,64991-3,Date of observation,
5016,57365-9,Lactate [Mass/volume] in Serum or Plasma --1.5 hours post XXX challenge,
5017,53898-3,KIAA0196 gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,
5018,2386-1,Glycerate [Mass/volume] in Urine,
5019,48790-0,Creatinine [Mass/time] in unspecified time Peritoneal dialysis fluid,
5020,21414-8,Neisseria gonorrhoeae DNA [Presence] in Cervical mucus by Probe and target amplification method,
5021,9757-6,Coxsackievirus A9 Ab [Titer] in Serum by Complement fixation,
5022,43089-2,Aspergillus niger Ab [Titer] in Serum,
5023,49358-5,Hepatitis B virus DNA [Units/volume] (viral load) in Bone marrow by Probe and target amplification method,
5024,38226-7,Friction and shear Braden scale,
5025,26836-7,Hydroxyethylflurazepam [Mass/mass] in Hair,
5026,9123-1,Fluid output cerebral ventricle drain 1 hour,
5027,29762-2,Social history Narrative,
5028,61438-8,Each time you ate bread and/or toast or dinner rolls and/or how much did you usually eat in the past 30 days [PhenX],
5029,27996-8,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --baseline,
5030,52210-2,Cardiac rehabilitation treatment plan and/or Activities permitted (narrative),
5031,23452-6,Taenia sp eggs [Presence] in Stool by Probe and target amplification method,
5032,13274-6,Toxocara canis Ab [Units/volume] in Cerebral spinal fluid,
5033,61466-9,Deprecated How often did you drink FRUIT-FLAVORED DRINKS with sugar (such as Kool-aid and/or Hi-C and/or lemonade and/or or cranberry cocktail) in past 30 days PhenX,
5034,31108-4,Osmotic fragility of Red Blood Cells--0.40% sodium chloride 24 hour 37 degree C incubation,
5035,6068-1,Cheese mold type IgE Ab [Units/volume] in Serum,
5036,31494-8,Lymphocytic choriomeningitis virus IgM Ab [Units/volume] in Cerebral spinal fluid,
5037,67454-9,Have you ever fired a gun [PhenX],
5038,60404-1,Red Snapper IgG Ab [Mass/volume] in Serum,
5039,58417-7,Diltiazem [Presence] in Urine,
5040,51560-1,Timothy recombinant (rPhl p) 11 IgE Ab RAST class [Presence] in Serum,
5041,62759-6,PhenX - clinical neuropathy protocol,
5042,45947-9,Resident assessment protocol 16--Pressure ulcers - proceed with care [Minimum Data Set],
