id,code,description
2204,8721-3,Surgical operation note specimens taken,
2205,48528-4,Do you feel pretty worthless the way you are now [GDS],
2206,66143-9,Monocytes [#/volume] in Blood from Fetus by Manual count,
2207,75096-8,Fatty acids.very long chain C26:0 (Hexacosanoate) [Entitic substance] in Red Blood Cells,
2208,34952-2,Rubella virus IgG and IgM panel - Serum,
2209,49975-6,Borrelia burgdorferi 34kD IgG Ab [Presence] in Cerebral spinal fluid by Immunoblot (IB),
2210,23652-1,Aeromonas salmonicida DNA [Presence] in Tissue by Probe and target amplification method,
2211,74294-0,Isovaleric Acidemia newborn screen interpretation,
2212,35071-0,Basophils [#/volume] in Body fluid,
2213,25190-0,Clarithromycin 8 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria,
2214,26224-6,Extremity - bilateral CT,
2215,51098-2,CD179a blasts [Units/volume] in Bone marrow,
2216,73493-9,Butalbital+Acetylsalicylate+Caffeine induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
2217,45534-5,Other limitation or loss - range of motion [Minimum Data Set],
2218,55421-2,Calories burned Machine estimate,
2219,59882-1,Chlorpheniramine [Moles/volume] in Urine,
2220,26277-4,Wrist - bilateral MRI,
2221,6654-8,Meropenem [Susceptibility] by Serum bactericidal titer,
2222,33633-9,Hepatitis B virus precore TAG [Presence] in Serum by Probe and target amplification method,
2223,74035-7,Abnormal Prion Protein [Identifier] in Tissue by Immune stain,
2224,19226-0,Deoxyhemoglobin/Hemoglobin.total in Capillary blood,
2225,7589-5,Black Pepper triggered histamine release [Units/volume] in Blood,
2226,66475-5,Primary country of residency before age 10 [PhenX],
2227,29597-2,Mephentermine [Mass/volume] in Serum or Plasma by Confirmatory method,
2228,54451-0,CYP2C9 and VKORC1 [interpretation] in Blood or Tissue by Molecular genetics method Narrative,
2229,72692-7,I felt disgusted by myself in last week [BSL-23],
2230,10690-6,Microsporidia identified in Duodenal fluid by Trichrome stain modified,
2231,58788-1,Campylobacter jejuni IgM Ab [Titer] in Serum by Immunofluorescence,
2232,52840-6,Total population of fetal age Nursing unit population,
2233,54072-4,Hemoglobin A/Hemoglobin.total in Dried blood spot,
2234,33386-4,Neutrophils.segmented/100 leukocytes in Synovial fluid,
2235,42730-2,Cardiolipin IgA Ab B2GP1 independent [Multiple of the median] in Serum,
2236,35903-4,CT Guidance for biopsy of Prostate,
2237,56280-1,Haddock IgG4 Ab [Mass/volume] in Serum,
2238,40690-0,Tumor Ag 90 [Units/volume] in Serum,
2239,68610-5,Hospital Postoperative evaluation and management note,
2240,18736-9,Physician Initial assessment note,
2241,7854-3,Dengue virus 1 Ab [Presence] in Serum by Immunoassay,
2242,8175-2,Tetrahydrocannabinol [Presence] in Urine by SAMHSA screen method,
2243,36085-9,Neck vessels MRI angiogram,
2244,6211-7,Penicillium brevicompactum IgE Ab [Units/volume] in Serum,
2245,66363-3,I can be physically active during my free time on most days [PhenX],
2246,58066-2,Kn sup(a) Ag [Presence] on Red Blood Cells,
2247,14277-8,Neutrophil cytoplasmic Ab.classic [Titer] in Serum by Immunofluorescence,
2248,1600-6,Lutropin [Mass/volume] in Serum or Plasma --pre dose gonadotropin releasing hormone,
2249,11932-1,Gestational age estimated from Head circumference by method of Hadlock 1984 (US),
2250,59706-2,Methylephedrine [Mass/volume] in Serum or Plasma,
2251,60200-3,Trifluralin [Mass/volume] in Urine,
2252,6295-0,Complement C3d [Presence] in Red Blood Cells,
2253,2351-5,Glucose [Mass/time] in 24 hour Urine,
2254,18657-7,Psychiatric rehabilitation treatment plan or Plan of treatment (narrative),
2255,65949-0,Dysphoria - irritable impatient [PhenX],
2256,64370-0,Dialysis patients age 18 to 54 years employed full-time or part-time at end of reporting period population #,
2257,59570-2,Urea nitrogen [Moles/volume] in Blood,
2258,34640-3,Bile acid [Mass/volume] in Body fluid,
2259,65622-3,Do you ever experience periods of muscle weakness or loss of muscle strength or limp muscles in any part of your body or such as the legs or face or when you laugh [PhenX],
2260,18167-7,Aorta root Mean systolic flow by US.doppler,
2261,49493-0,Leukemia markers [interpretation] in Blood Narrative,
2262,53031-1,Signal Recognition Particle (SRP) Ab [Units/volume] in Serum or Plasma,
2263,53506-2,Citrulline/Amino acids.total in Plasma,
2264,50528-9,Parathyrin.intact [Mass/volume] in Serum or Plasma --4th specimen,
2265,24410-3,Brucella canis Ab [Presence] in Serum by Plate agglutination,
2266,74298-1,Short-chain acyl-CoA dehydrogenase deficiency newborn screen interpretation,
2267,69750-8,EMS unit GPS latitude Vehicle NEMSIS --at dispatch,
2268,8030-9,Streptococcus pneumoniae Ab [Presence] in Serum,
2269,27031-4,Oxyphenisatin [Mass/volume] in Urine,
2270,16161-2,Gastrin [Mass/volume] in Serum or Plasma --post XXX challenge,
2271,58175-1,Falls - care area triggered [MDSv3],
2272,75259-2,PROMIS short form - pain intensity - 3a - version 1.0,
2273,27289-8,Methamphetamine [Mass/mass] in Meconium,
2274,57718-9,Sample quality of Dried blood spot,
2275,63021-0,Deprecated PhenX measure - family interpersonal relationships,
2276,39620-0,Scan Guidance for abscess localization limited,
2277,46407-3,Somatotropin [Mass/volume] in Serum or Plasma --1.5 hours post 1 g/kg glucose PO,
2278,36758-1,Chest X-ray PA and lateral and oblique and lordotic,
2279,31897-2,Mumps virus Ag [Presence] in Throat,
2280,59231-1,Prostate Specific Ag Free [Mass/volume] in Cerebral spinal fluid,
2281,14334-7,Lithium [Moles/volume] in Serum or Plasma,
2282,68308-6,I was able to open a jar by myself in the past 7 days [NeuroQol.Peds],
2283,15629-9,Chestnut IgE Ab RAST class [Presence] in Serum,
2284,49526-7,Influenza virus A H5 RNA [Presence] in Isolate by Probe and target amplification method,
2285,47108-6,Furosemide [Presence] in Gastric fluid,
2286,25155-3,Cystine crystals [#/area] in Urine sediment by Microscopy high power field,
2287,56973-1,Proline/Creatinine [Ratio] in 24 hour Urine,
2288,28487-7,Bowel Function Knowledge Family [OMAHA],
2289,47448-6,Influenza virus A H13 Ab [Titer] in Serum,
2290,351-7,Nalidixate [Susceptibility] by Minimum inhibitory concentration (MIC),
2291,9232-0,Output.colostomy 10 hour,
2292,60488-4,NPHS2 gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,
2293,72223-1,Yeast [Presence] in Urine by Automated,
2294,20425-5,Cardiolipin IgM Ab [interpretation] in Serum,
2295,2534-6,Lactate dehydrogenase [Enzymatic activity/volume] in Urine,
2296,53596-3,Laminaribioside IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,
2297,65888-0,Things accompanying a panic attack [PhenX],
2298,6322-2,Borrelia burgdorferi Ag [Units/volume] in Serum,
2299,34595-9,Collection time of Gastric fluid,
2300,47778-6,Somatotropin [Units/volume] in Serum or Plasma --pre dose TRH,
2301,30807-2,Lower extremity vessels CT angiogram W and WO contrast IV,
2302,7553-1,Oregano IgG Ab [Units/volume] in Serum,
2303,45613-7,Direct care staff believe resident is capable of increased independence in at least some ADLs [Minimum Data Set],
2304,2507-2,Isoleucine [Presence] in Serum or Plasma,
2305,60306-8,Fluvoxamine [Moles/volume] in Unspecified specimen,
2306,24645-4,Chest X-ray PA and right lateral and right oblique and left oblique upright portable,
2307,61421-4,Norhydrocodone [Presence] in Urine by Confirmatory method,
2308,71475-8,New infection suspected [ESRD],
2309,13443-7,Creatinine renal clearance in 8 hour,
2310,58389-8,Normeperidine [Mass/volume] in Urine by Confirmatory method,
2311,59530-6,Derived post treatment-7 M Cancer,
2312,36313-5,Ribs - bilateral X-ray 3 views,
2313,46052-7,Activity pursuit patterns section,
2314,12994-0,Oxychlordane [Mass/volume] in Blood,
2315,29826-5,Jamestown canyon virus IgM Ab [Presence] in Unspecified specimen,
2316,18773-2,Surgeon.staff name,
2317,19359-9,Cocaine [Presence] in Urine by Screen method,
2318,23828-7,Bordetella pertussis filamentous hemagglutinin IgG Ab [Units/volume] in Serum,
2319,10753-2,Fat.microscopic observation [Identifier] in Stool by Sudan IV stain,
2320,58079-5,JMH Ab [Presence] in Serum or Plasma,
2321,54783-6,Cirrhosis in last 7 days [MDSv3],
2322,34571-0,Activated partial thromboplastin time (aPTT).lupus sensitive in Platelet poor plasma by Coagulation assay,
2323,68653-5,Clinical genetics Discharge summary,
2324,74544-8,Tocopherols [Entitic substance] in Red Blood Cells,
2325,45511-3,Speech clarity [Minimum Data Set],
2326,28310-1,Neighborhood/workplace safety.status [OMAHA],
2327,66757-6,Clot lysis estimate [Percentile] by Thromboelastography,
2328,63577-1,How old were you the first time you got drunk or that is or your speech was slurred or you were unsteady on your feet [PhenX],
2329,72021-9,VR-12 General health (GH) score - oblique method T-score,
2330,33963-0,Granulocytes/100 leukocytes in Cerebral spinal fluid,
2331,67423-4,Do you suffer from migraine [PhenX],
2332,24363-4,Acute hepatitis 2000 panel - Serum Qualitative,
2333,1806-9,Amylase S1 [Enzymatic activity/volume] in Serum or Plasma,
2334,9451-6,Hexacarboxylporphyrin [Mass/volume] in Serum or Plasma,
2335,8976-3,Fluid intake intravascular 1 hour,
2336,6430-3,HIV identified in Semen by Organism specific culture,
2337,61254-9,Italian Cypress IgE Ab [Ratio] in Serum,
2338,69632-8,Total difficulty score - baseline [OPTIMAL],
2339,17371-6,Norepinephrine [Mass/volume] in Urine --4th specimen post XXX challenge,
2340,33381-5,Coccidioides sp Ab [Units/volume] in Serum,
2341,2089-1,Cholesterol in LDL [Mass/volume] in Serum or Plasma,
2342,64889-9,When did you last have the strength of your glasses checked [Date and time] [PhenX],
2343,38280-4,Lymphocyte proliferation stimulated by 5.0 ug/mL Candida albicans [Units/volume] in Blood,
2344,36969-4,Deprecated View decubitus,
2345,72598-6,Albumin/Protein.total [Pure mass fraction] in Serum or Plasma by Electrophoresis,
2346,54980-8,Application of dressings to feet (with or without topical medications) provided in last 7 days [MDSv3],
2347,9466-4,Cadmium [Mass/volume] in Water,
2348,66252-8,Seconds held or if less than 10 seconds [PhenX],
2349,19468-8,Flunitrazepam cutoff [Mass/volume] in Urine for Screen method,
2350,46174-9,Borrelia burgdorferi IgA Ab [Units/volume] in Serum,
2351,40493-9,Methylenedioxymethamphetamine [Presence] in Serum or Plasma,
2352,57923-5,Carbon dioxide or total [Moles/volume] in Venous cord blood by calculation,
2353,38588-0,Acrylonitrile [Mass/volume] in Air,
2354,24916-9,Sinuses X-ray,
2355,35735-0,Neisseria gonorrhoeae DNA [Presence] in Conjunctival specimen by Probe and target amplification method,
2356,20362-0,Heart valve Region [Area] by US.doppler velocity + diameter calculated,
2357,6672-0,Microscopic observation [Identifier] in Tissue by Methylene blue stain.Loeffler,
2358,74211-4,Emergency department+Hospital Summary of episode note,
2359,55894-0,Hypoxanthine phosphoribosyltransferase/Adenine phosphoribosyltransferase [Enzymatic activity ratio] in Placenta,
2360,34681-7,Biopsy [interpretation] in Muscle Narrative,
2361,63140-8,Gelatin IgG Ab [Mass/volume] in Serum,
2362,58898-8,Renin [Enzymatic activity/volume] in Plasma --4 hours post XXX challenge,
2363,58938-2,LCT gene mutations found [Type] in Blood or Tissue by Molecular genetics method,
2364,3004-9,Thiocyanate [Mass/volume] in Urine,
2365,46944-5,Urinary Function Status [OMAHA],
2366,328-5,Metronidazole [Susceptibility] by Disk diffusion (KB),
2367,61744-9,When I was in pain I walked carefully in past 7 days [PROMIS],
2368,63575-5,Was there ever a time when two or more of these problems occurred together [PhenX],
2369,24829-4,Mandible X-ray,
2370,44984-3,Chlamydia trachomatis L2 IgG Ab [Presence] in Serum,
2371,56399-9,Swiss Cheese IgG4 Ab [Mass/volume] in Serum,
2372,20807-4,Equine arteritis virus [Presence] in Blood by Organism specific culture,
2373,31230-6,Aspergillus flavus Ab [Units/volume] in Serum,
2374,29945-3,Alpha 1 globulin [Presence] in 24 hour Urine by Electrophoresis,
2375,16562-1,Cathartic laxatives [Identifier] in Urine,
2376,20553-4,Norfluoxetine [Mass/volume] in Urine by Confirmatory method,
2377,68054-6,I have to do my hobbies or leisure activities for shorter periods of time than usual for me in the past 7 days [NeuroQol],
2378,35776-4,Ceftazidime+Clavulanate [Susceptibility],
2379,57883-1,Cantaloupe IgE Ab [Units/volume] in Serum,
2380,64570-5,Does your child use cigarettes or smokeless tobacco or snuff or or other tobacco products [PhenX],
2381,61787-8,How often did pain prevent you from sitting for more than 30 minutes in past 7 days [PROMIS],
2382,42026-5,Census tract certainty 2000,
2383,30944-3,Date of vaccination temporary contraindication/precaution expiration,
2384,23590-3,Western equine encephalitis virus Ag [Presence] in Unspecified specimen by Immunofluorescence,
2385,17744-4,Trimellitic anhydride (TMA) IgG Ab [Units/volume] in Serum,
2386,56593-7,Follitropin [Units/volume] in Serum or Plasma --3 hours post XXX challenge,
2387,18624-7,ED problem (narrative),
2388,64189-4,Do you still have chronic bronchitis [PhenX],
2389,42742-7,Phosphatidylcholine IgG Ab B2GP1 independent [Multiple of the median] in Serum,
2390,66701-4,When I feel rejected or I often say things that I later regret [UPPS-P],
2391,24375-8,Platelet Ab [Presence] in Serum,
2392,28452-1,Hearing Status Family [OMAHA],
2393,29144-3,1,2-Dimethylbenzene [Mass/volume] in Serum or Plasma,
2394,22661-3,Coproporphyrin [Moles/volume] in Serum or Plasma,
2395,61367-9,Clostridium difficile DNA [Presence] in Unspecified specimen by Probe and target amplification method,
2396,16103-4,Porcine Gelatin IgE Ab [Units/volume] in Serum,
2397,74645-3,Hydromorphone [Presence] in Saliva (oral fluid) by Confirmatory method,
2398,38862-9,Carotid artery and Cerebral artery - left Fluoroscopic angiogram W contrast IA,
2399,46031-1,Indicators of fluid status Set,
2400,36529-6,Sinuses CT WO contrast,
2401,1785-5,Alpha amino acid nitrogen [Mass/time] in 24 hour Urine,
2402,25044-9,CT Guidance for biopsy of Unspecified body region,
2403,47402-3,CV2 Ab [Presence] in Serum or Plasma by Immunoblot (IB),
2404,60662-4,Maxillary mandibular planes angle using menton and constructed gonion Skull X-ray measured,
2405,9189-2,Fluid output urine 8 hour,
2406,68882-0,Pediatric urology Note,
2407,75183-4,When mother received first dose of benzathine penicillin [CDC.CS],
2408,75255-0,Assistance needed [HHS.ACA Section 4302.ONC],
2409,12022-0,Uterine artery - right Resistivity index US.doppler,
2410,63605-0,Health problem resulting from long stretches of drinking [PhenX],
2411,72246-2,Abdomen and Pelvis MRI W contrast PO and W and WO contrast IV,
2412,55522-7,Acetazolamide [Moles/volume] in Serum or Plasma,
2413,25612-3,Oriental Cockroach IgE Ab RAST class [Presence] in Serum,
2414,3944-6,Phenmetrazine [Presence] in Urine,
2415,58740-2,Abdomen MRCP WO contrast,
2416,4153-3,Carbenicillin [Mass] of Dose,
2417,56828-7,Time contractions became regular,
2418,5712-5,Deprecated Pentachlorophenol [Mass/volume] in Urine,
2419,60043-7,Acepromazine [Mass/volume] in Blood,
2420,48999-7,Urea [Mass/time] in 24 hour Urine,
2421,239-4,Erythromycin+Sulfisoxazole [Susceptibility] by Serum bactericidal titer,
2422,49018-5,Respiratory allergen panel or US - Intermountain west c - Serum,
2423,8531-6,Brachial artery - right Mean blood pressure,
2424,49950-9,Somatotropin [Units/volume] in Serum or Plasma --2 AM specimen,
2425,15726-3,Geotrichum candidum IgE Ab RAST class [Presence] in Serum,
2426,64071-4,Critical care medicine Medical student Hospital Progress note,
2427,37055-1,Scapula - bilateral X-ray Y,
2428,24143-0,Sheep Sorrel IgG Ab [Units/volume] in Serum,
2429,32560-5,Trichophyton reaction wheal [Diameter] --2 days post 50 ug trichophyton intradermal,
2430,63922-9,Are you considering quitting smoking during the next 6 months [PhenX],
2431,41934-1,Peak flow meter Vendor software version,
2432,55297-6,Deprecated FIP1L1+PDGFRA gene rearrangements [Presence] in Blood or Tissue by Molecular genetics method,
2433,64951-7,I don't like being in a hospital [PhenX],
2434,33456-5,Endotracheal tube leak Respiratory system,
2435,36383-8,Mandible CT W and WO contrast IV,
2436,3504-8,Clostebol [Mass/time] in 24 hour Urine,
2437,16035-8,Acarus siro IgE Ab RAST class [Presence] in Serum,
2438,19245-0,Clonazepam [Presence] in Urine,
2439,55992-2,Lens fitting Contact lens prescription - left,
2440,32119-0,Valproate Free [Moles/volume] in Serum or Plasma,
2441,13592-1,Platelet aggregation XXX induced [Substance threshold] in Platelet rich plasma,
2442,20830-6,Glycol [Mass/volume] in Urine,
2443,7970-7,Mycoplasma pneumoniae IgG Ab [Units/volume] in Serum,
2444,61243-2,Goosefoot IgE Ab [Ratio] in Serum,
2445,49979-8,Borrelia burgdorferi 35kD IgM Ab [Presence] in Serum by Immunoblot (IB),
2446,19057-9,ABO + Rh group [Type] in Blood from newborn,
2447,55141-6,Fc epsilon RI + RII Ab [Units/volume] in Serum,
2448,6667-0,Microscopic observation [Identifier] in Tissue by KOH preparation,
2449,52510-5,Respiratory status,
2450,54189-6,Posaconazole [Susceptibility] by Disk diffusion (KB),
2451,39109-4,Turgor of Skin,
2452,28967-8,Add Contact lens prescription - left,
2453,33713-9,Clostridium botulinum toxin B [Presence] in Unspecified specimen,
2454,60609-5,Upper incisor to nasion-A point line [Angle] Skull X-ray measured,
2455,8610-8,Myocardial ischemia by EKG,
2456,22604-3,Varicella zoster virus IgG Ab [Units/volume] in Serum --2nd specimen,
2457,73214-9,Paroxetine induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
2458,65599-3,In the past year or have you awakened during the night and had a hard time getting back to sleep [PhenX],
2459,50741-8,FDA product label Safe handling warning section,
2460,3982-6,Procainamide [Mass/volume] in Serum or Plasma,
2461,12169-9,Fetal Urinary bladder Volume.pre void US,
2462,33245-2,Amylase [Catalytic Activity] in unspecified time Urine,
2463,16029-1,Spruce IgE Ab RAST class [Presence] in Serum,
2464,13008-8,Methyl propyl ketone [Mass/volume] in Blood,
2465,73404-6,Doxazosin induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
2466,18139-6,Stress study Stage by US,
2467,27624-6,Occupational therapy treatment plan or Plan of treatment (narrative),
2468,56959-0,Neuronal nuclear type 2 Ab [Presence] in Cerebral spinal fluid by Immunofluorescence,
2469,8169-5,Tetrahydrocannabinol [Presence] in Meconium by Screen method,
2470,28436-4,Sexuality Behavior Family [OMAHA],
2471,44285-5,3-Methylcrotonylglycine/Creatinine [Mass Ratio] in 24 hour Urine,
2472,18996-9,Tobramycin [Susceptibility],
2473,59532-2,Derived post treatment-7 stage group Cancer,
2474,46593-0,Receives psychiatric nursing [OASIS],
2475,22523-5,Salmonella paratyphi B O Ab [Presence] in Serum,
2476,72940-0,Topiramate induced neutrophil IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
2477,12489-1,Secobarbital [Presence] in Gastric fluid,
2478,44616-1,Pulse oximetry panel,
2479,73351-9,Hydrochlorothiazide+Losartan induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
2480,1142-9,Lu sup(b) Ab [Presence] in Serum or Plasma from Blood product unit,
2481,33902-8,Deprecated Immune complex [Units/volume] in Serum or Plasma by Raji cell assay,
2482,56407-0,Trout IgG4 Ab [Mass/volume] in Serum,
2483,36913-2,FMR1 gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,
2484,37931-3,Wrist X-ray PA,
2485,19935-6,Maximum expiratory gas flow Respiratory system airway by Peak flow meter,
2486,63273-7,Liver kidney microsomal 1 Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,
2487,20917-1,Organophosphate pesticides [Presence] in Blood by Screen method,
2488,60719-2,Rolling: elicited from the legs (left) [TIMP],
2489,14714-0,Erythropoietin (EPO) [Moles/volume] in Serum or Plasma,
2490,48958-3,Midazolam [Mass/volume] in Unspecified specimen,
2491,43029-8,Herpes simplex virus 2 Ab [Titer] in Cerebral spinal fluid,
2492,66015-9,Delusions and hallucinations last for one week [PhenX],
2493,62823-0,PhenX - physical activity - readiness protocol,
2494,15938-4,Spiny Pigweed IgE Ab RAST class [Presence] in Serum,
2495,47212-6,Chlamydia trachomatis DNA [Identifier] in Unspecified specimen by Probe and target amplification method,
2496,23203-3,Leptospira sp Ag [Presence] in Tissue by Immunofluorescence,
2497,32898-9,Tooth space required {Dental arch} Calculated,
2498,15400-5,Platelet IgG Ab [Presence] in Serum,
2499,67671-8,Have you ever been unfairly discouraged by a teacher or advisor from continuing your education [PhenX],
2500,42142-0,Deprecated Breast Mammogram Guidance for percutaneous biopsy.core needle,
2501,44076-8,Alpha tocopherol and Beta gamma tocopherol [interpretation] in Serum or Plasma,
2502,3800-0,Methoxyphenamine [Mass/time] in 24 hour Urine,
2503,30053-3,Leucine/Creatinine [Ratio] in Urine,
2504,65235-4,How often do you leave your seat in meetings or other situations in which you are expected to remain seated [PhenX],
2505,48766-0,Information source,
2506,24391-5,Cortisol [Moles/volume] in Serum or Plasma --1 hour post 250 ug corticotropin IM,
2507,16959-9,Herpes simplex virus 2 DNA [Presence] in Serum or Plasma by Probe and target amplification method,
2508,18911-8,Colistimethate,
2509,11824-0,Fetal Head Diameter.BPD.area-corrected derived by US,
2510,5176-3,Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay,
2511,51391-1,Fluoroscopic angiogram Guidance for placement of transjugular intrahepatic portosystemic shunt in Portal vein and Hepatic vein,
2512,38561-7,Spermatozoa.tail Motile w IgG/100 spermatozoa in Semen by Immunobead,
2513,13104-5,Deprecated Disialylganglioside GD1b Ab.IgM,
2514,8785-8,Left ventricular Stroke volume index by 2D echo,
2515,62853-7,Deprecated PhenX measure - glycosylated hemoglobin assay that reflects long-term glucose concentration,
2516,56299-1,Firebush IgG4 Ab [Mass/volume] in Serum,
2517,52805-9,Major treatments used within 2 days interim period panel,
2518,15350-2,Amylase [Enzymatic activity/time] in 2 hour Urine,
2519,21626-7,ATP7B gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,
2520,28840-7,Pupillary distance Glasses prescription.lens - right,
2521,66818-6,How often does he or she criticize you [PhenX],
2522,32378-2,Caspofungin [Susceptibility],
2523,25532-3,Swine serum albumin IgE Ab RAST class [Presence] in Serum,
2524,65367-5,Have you ever had or or has anyone ever told you that you had or a seizure or convulsion or fit or spell under any circumstances [PhenX],
2525,66876-4,FMR1 gene premutation/premutation+full mutation in Blood by Molecular genetics method,
2526,53614-4,Bacteria # 2 identified in Duodenal fluid by Aerobe culture,
2527,40-6,Azlocillin [Susceptibility] by Minimum inhibitory concentration (MIC),
2528,35329-2,pH of Body fluid--2nd specimen post Sincalide,
2529,56511-9,Calcitonin [Mass/volume] in Serum or Plasma --2 minutes post XXX challenge,
2530,5992-3,Platelet aggregation ADP induced [Substance threshold] in Platelet rich plasma,
2531,13909-7,Tamoxifen [Mass/volume] in Serum or Plasma,
2532,64656-2,Other estrogen you are currently using [PhenX],
2533,62508-7,Deprecated PhenX measure - substance - 30 days frequency,
2534,23270-2,Mycoplasma capricolum ss capripneumonia Ag [Presence] in Tissue,
2535,18336-8,Methyl tert-butyl ether [Mass/volume] in Blood,
2536,67601-5,This is a close-knit neighborhood [PhenX],
2537,65201-6,Specify or in general or what you have you ever experienced or witnessed or or otherwise been involved in any events that could have brought serious harm or even death to you or someone else [PhenX],
2538,62462-7,Influenza virus A+B RNA [Presence] in Unspecified specimen by Probe and target amplification method,
2539,26716-1,Chlorphentermine [Mass/mass] in Meconium,
2540,54791-9,Septicemia in last 7 days [MDSv3],
2541,48442-8,Spine CT W and WO contrast IT,
2542,51710-2,Leishmania sp identified in Unspecified specimen by Organism specific culture,
2543,49176-1,Herpes virus 8 IgM Ab [Titer] in Serum,
2544,34925-8,Immature monocytes/100 leukocytes in Blood,
2545,40213-1,Glucose [Moles/volume] in Serum or Plasma --5.5 hours post XXX challenge,
2546,10029-7,R' wave duration in lead V2,
2547,32231-3,Aspartate [Moles/volume] in Vitreous fluid,
2548,41860-8,2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Serum or Plasma,
2549,45275-5,Bacteria identified in Blood by Aerobe culture 25 degree C incubation,
2550,9446-6,Heptacarboxylporphyrin [Mass/volume] in Red Blood Cells,
2551,59038-0,Cholesterol [Mass/volume] in Peritoneal dialysis fluid,
2552,46852-0,Pain Behavior Community [OMAHA],
2553,3259-9,Fibrinogen fragments Ag [Units/volume] in Platelet poor plasma by Immunologic method,
2554,2606-2,Melanin [Presence] in Urine,
2555,53092-3,Collagen crosslinked C-telopeptide [Moles/volume] in Serum or Plasma,
2556,24823-7,CT Guidance for biopsy of Lung,
2557,28218-6,Sanitation Knowledge Family [OMAHA],
2558,40450-9,Deprecated Oxygen saturation in Capillary blood by Oximetry --post exercise,
2559,32286-7,Hepatitis C virus genotype [Identifier] in Serum or Plasma by Probe and target amplification method,
2560,32601-7,CD59 cells/100 cells in Unspecified specimen,
2561,20056-8,Airway pressure --at mean expiratory flow on ventilator,
2562,36990-0,Spine Lumbar X-ray lateral crosstable,
2563,75031-5,FDA product label Human compounded drug label,
2564,30679-5,Spine Lumbar MRI WO contrast,
2565,6636-5,Influenza virus A Port Chalmers Ab [Units/volume] in Serum by Hemagglutination inhibition,
2566,33947-3,Clostridium difficile toxin Ab [Titer] in Serum by Neutralization test,
2567,47482-5,Streptococcus pneumoniae 1 IgG Ab [Mass/volume] in Serum --2nd specimen,
2568,38745-6,Isocyanate MDI [Mass/volume] in Air,
2569,17386-4,Organic acids [Units/volume] in Blood,
2570,47377-7,Knee - right X-ray LE 4 views,
2571,61843-9,How often did you feel run-down in past 7 days [PROMIS],
2572,62519-4,Deprecated PhenX measure - environmental exposures - exposure at work and daily life,
2573,68027-2,Pain woke me up in the past 7 days [NeuroQol],
2574,19425-8,Dextromethamphetamine [Mass/volume] in Urine by Confirmatory method,
2575,29334-0,Aspergillus fumigatus 2 Ab [Presence] in Serum,
2576,21351-2,IgM [Presence] in Cerebral spinal fluid by Immunofixation,
2577,40051-5,Albumin [Mass/volume] in Serum or Plasma --1.5 hours post XXX challenge,
2578,36503-1,Kidney - bilateral CT WO contrast,
2579,2851-4,Prostaglandin E [Mass/volume] in Plasma,
2580,23285-0,Mycoplasma mycoides ss mycoides small colony Ab [Presence] in Serum,
2581,60424-9,Parainfluenza virus 4 Ag [Presence] in Unspecified specimen,
2582,28899-3,Base curve 1 Contact lens - left,
2583,20721-7,Brucella abortus Ab [Presence] in Semen by Agglutination,
2584,14031-9,Ciprofloxacin [Mass/volume] in Serum or Plasma --peak,
2585,69132-9,Hip X-ray Danelius Miller,
2586,57527-4,17-Hydroxycorticosteroids [Mass/volume] in 24 hour Urine --2 days post high dose dexamethasone,
2587,54991-5,Special treatments and programs in last 14 days,
2588,36785-4,Lower extremity veins - right MRI angiogram,
2589,52268-0,Occupational therapy treatment plan Progress note and attainment of goals date range,
2590,46753-0,Very long chain hydroxy acyl dehydrogenase deficiency newborn screen interpretation,
2591,10903-3,Hyaluronidase Ab [Titer] in Serum,
2592,48071-5,Complement total hemolytic CH50 [Titer] in Serum or Plasma,
2593,50722-8,VKORC1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,
2594,23230-6,Mareks disease virus Ag [Presence] in Feather by Immune diffusion (ID),
2595,9154-6,Fluid output gastric tube 24 hour,
2596,69672-4,Bothered by back pain in last 4 weeks [Reported.PHQ],
2597,2658-3,Nitrogen [Mass/volume] in Exhaled gas,
2598,49933-5,Adipate.unsaturated/Creatinine [Molar ratio] in Urine,
2599,22185-3,Chlamydia sp IgM Ab [Units/volume] in Cerebral spinal fluid,
2600,44000-8,Choriogonadotropin [Units/volume] in Amniotic fluid,
2601,43994-3,Trisomy 18 risk in Fetus,
2602,20654-0,Phosphoserine [Moles/volume] in Serum or Plasma,
2603,45149-2,Ej Ab [Presence] in Serum,
2604,73708-0,Body fat mass [Mass] Calculated,
2605,15143-1,Aspartate+Citrulline+Glycine+Homocystine+Hydroxyproline [Presence] in Urine,
